stdentId,full_name,email,
1416455,student1,1416455@iub.edu.bd,
1579288,student2,1579288@iub.edu.bd,
1625654,student3,1625654@iub.edu.bd,
1665555,student4,1665555@iub.edu.bd,
1613273,student5,1613273@iub.edu.bd,
1623112,student6,1623112@iub.edu.bd,
1696326,student7,1696326@iub.edu.bd,
1646434,student8,1646434@iub.edu.bd,
1614142,student9,1614142@iub.edu.bd,
1654432,student10,1654432@iub.edu.bd,
1661638,student11,1661638@iub.edu.bd,
1686272,student12,1686272@iub.edu.bd,
1778274,student13,1778274@iub.edu.bd,
1795656,student14,1795656@iub.edu.bd,
1747457,student15,1747457@iub.edu.bd,
1798883,student16,1798883@iub.edu.bd,
1766156,student17,1766156@iub.edu.bd,
1715578,student18,1715578@iub.edu.bd,
1745484,student19,1745484@iub.edu.bd,
1788337,student20,1788337@iub.edu.bd,
1728439,student21,1728439@iub.edu.bd,
1711619,student22,1711619@iub.edu.bd,
1711729,student23,1711729@iub.edu.bd,
1892367,student24,1892367@iub.edu.bd,
1872128,student25,1872128@iub.edu.bd,
1868128,student26,1868128@iub.edu.bd,
1845457,student27,1845457@iub.edu.bd,
