stdentId,full_name,email,
1633554,student1,1633554@iub.edu.bd,
1645333,student2,1645333@iub.edu.bd,
1691291,student3,1691291@iub.edu.bd,
1641252,student4,1641252@iub.edu.bd,
1695837,student5,1695837@iub.edu.bd,
1668314,student6,1668314@iub.edu.bd,
1665491,student7,1665491@iub.edu.bd,
1763881,student8,1763881@iub.edu.bd,
1773277,student9,1773277@iub.edu.bd,
1759787,student10,1759787@iub.edu.bd,
1743714,student11,1743714@iub.edu.bd,
1728125,student12,1728125@iub.edu.bd,
1783512,student13,1783512@iub.edu.bd,
1768463,student14,1768463@iub.edu.bd,
1797625,student15,1797625@iub.edu.bd,
1754681,student16,1754681@iub.edu.bd,
1769463,student17,1769463@iub.edu.bd,
1731817,student18,1731817@iub.edu.bd,
1791753,student19,1791753@iub.edu.bd,
1712983,student20,1712983@iub.edu.bd,
1784847,student21,1784847@iub.edu.bd,
1789481,student22,1789481@iub.edu.bd,
1773384,student23,1773384@iub.edu.bd,
1762565,student24,1762565@iub.edu.bd,
1835874,student25,1835874@iub.edu.bd,
1886577,student26,1886577@iub.edu.bd,
1834433,student27,1834433@iub.edu.bd,
1855787,student28,1855787@iub.edu.bd,
1893863,student29,1893863@iub.edu.bd,
1842333,student30,1842333@iub.edu.bd,
