stdentId,full_name,email,
1528882,student1,1528882@iub.edu.bd,
1653725,student2,1653725@iub.edu.bd,
1669953,student3,1669953@iub.edu.bd,
1616161,student4,1616161@iub.edu.bd,
1662147,student5,1662147@iub.edu.bd,
1691483,student6,1691483@iub.edu.bd,
1674181,student7,1674181@iub.edu.bd,
1612985,student8,1612985@iub.edu.bd,
1622731,student9,1622731@iub.edu.bd,
1678812,student10,1678812@iub.edu.bd,
1614733,student11,1614733@iub.edu.bd,
1634352,student12,1634352@iub.edu.bd,
1729416,student13,1729416@iub.edu.bd,
1781682,student14,1781682@iub.edu.bd,
1772947,student15,1772947@iub.edu.bd,
1752538,student16,1752538@iub.edu.bd,
1731852,student17,1731852@iub.edu.bd,
1766176,student18,1766176@iub.edu.bd,
1742892,student19,1742892@iub.edu.bd,
1736425,student20,1736425@iub.edu.bd,
1718437,student21,1718437@iub.edu.bd,
1737824,student22,1737824@iub.edu.bd,
1797789,student23,1797789@iub.edu.bd,
1728139,student24,1728139@iub.edu.bd,
1898334,student25,1898334@iub.edu.bd,
1863951,student26,1863951@iub.edu.bd,
1835298,student27,1835298@iub.edu.bd,
1849651,student28,1849651@iub.edu.bd,
1887973,student29,1887973@iub.edu.bd,
1877262,student30,1877262@iub.edu.bd,
1873255,student31,1873255@iub.edu.bd,
